AAA = (MJJ, QBJ)
BBK = (DJT, LLJ)
BBM = (VFP, VGF)
BCC = (CHL, QXP)
BDN = (JMC, MTV)
BFG = (QQV, MHS)
BFV = (FGX, CNB)
BGT = (DHM, VDX)
BHB = (KCN, NGH)
BHG = (KFL, BCC)
BHH = (KPP, LFS)
BJB = (XPV, BVJ)
BJC = (SQK, RGB)
BJG = (TVF, BDN)
BJH = (LSL, BHB)
BJM = (NVD, FKV)
BJP = (RHQ, RJX)
BJQ = (LFC, RNK)
BJV = (KBG, MDK)
BLB = (PGK, NFS)
BLD = (XGL, NDH)
BLN = (QDF, HQR)
BLP = (XVK, LJB)
BLS = (CQK, GTG)
BNR = (CSS, RBN)
BPB = (LBJ, JGT)
BPL = (BGT, FCN)
BPR = (GRQ, JXM)
BPT = (LNV, VQC)
BQS = (SCJ, VNH)
BQV = (GLN, NQG)
BQX = (MSH, NSN)
BRB = (XBS, BXT)
BSB = (KHR, FGL)
BSJ = (TJH, DKS)
BTF = (HGR, NVT)
BTR = (GMD, TLD)
BVB = (HCP, NVM)
BVC = (TLJ, JSP)
BVF = (QQT, QTP)
BVJ = (BHG, MJQ)
BXD = (MLL, QKQ)
BXH = (RXT, BLP)
BXS = (BVF, LMK)
BXT = (TKD, ZZZ)
CBC = (LRB, QGN)
CCH = (BJC, MBP)
CCL = (DXF, HRM)
CDX = (LLX, TNN)
CFD = (PNQ, TCF)
CFG = (BTF, JQJ)
CFT = (QVF, MJM)
CGF = (FXF, STT)
CGP = (CQK, GTG)
CGQ = (GTJ, LXQ)
CGR = (FMS, KRS)
CHL = (TGV, HPX)
CHT = (VXP, VXR)
CJC = (NMS, HCC)
CJD = (VJN, GKK)
CJZ = (DPF, RMT)
CKC = (XKH, FBQ)
CKG = (LKV, QNK)
CKJ = (BLS, CGP)
CKQ = (QDN, NJH)
CKR = (KQH, HQD)
CKS = (HCP, NVM)
CKV = (BJM, QCG)
CLF = (PCT, XKJ)
CLH = (XHQ, VKF)
CLR = (NFS, PGK)
CMM = (DMS, KFB)
CMQ = (TQB, BBM)
CNB = (KNS, HVP)
CPR = (JLH, PLC)
CQK = (BJG, HPL)
CQL = (FTK, MQF)
CRN = (VXP, VXR)
CSC = (BLD, PDP)
CSS = (RKK, RQN)
CTJ = (SRD, BHH)
CTK = (GSF, HQN)
CXG = (PLC, JLH)
DBR = (RVG, TRS)
DBX = (KVL, DLS)
DCC = (MBP, BJC)
DDG = (QTS, VRJ)
DDK = (NTM, JNC)
DFD = (HQR, QDF)
DFJ = (SXC, LRR)
DFQ = (VLF, TCJ)
DFV = (JKJ, KDX)
DGF = (FMX, PKP)
DHM = (HXV, FRV)
DHQ = (MND, BJV)
DHV = (RJJ, KFV)
DJB = (BQX, SLD)
DJD = (PBL, CMM)
DJH = (FBG, MCQ)
DJQ = (NRG, QCD)
DJT = (NVX, BTR)
DJV = (VMC, HVC)
DKD = (CKR, JPC)
DKF = (RCN, XJS)
DKS = (KPL, KTR)
DLD = (SSQ, LDK)
DLM = (VNH, SCJ)
DLN = (TXM, QRG)
DLS = (VFV, SRV)
DMF = (TCF, PNQ)
DMH = (PBN, HND)
DMM = (VQM, LTG)
DMS = (QVD, MFS)
DPF = (XCP, QKM)
DPP = (SJV, MRP)
DPQ = (JJX, GNL)
DQF = (LJC, KXM)
DQH = (GSC, CFT)
DRK = (HMT, XNV)
DSF = (RBQ, GQH)
DSM = (FTH, FFG)
DTC = (GLD, TCK)
DTK = (QLT, MTG)
DVM = (GCD, FSC)
DVS = (FTH, FFG)
DVT = (GKK, VJN)
DXF = (RNH, RNH)
DXG = (JLV, MVL)
DXR = (KCT, KQS)
FBG = (RTG, CTK)
FBQ = (FSV, GHJ)
FCH = (DSM, DVS)
FCK = (FKM, BNR)
FCN = (DHM, VDX)
FCV = (GTC, CKJ)
FCX = (DXG, SGQ)
FDV = (RRH, CKQ)
FFG = (QRK, FHX)
FFT = (QGN, LRB)
FGF = (MPH, SRJ)
FGL = (QGL, NCM)
FGX = (HVP, KNS)
FHB = (TCJ, VLF)
FHD = (KMD, DHV)
FHJ = (XFJ, GVL)
FHX = (QFS, TSF)
FJB = (XQV, KFT)
FJD = (KXR, KXR)
FKF = (MVH, VXF)
FKG = (RMT, DPF)
FKM = (CSS, RBN)
FKV = (JVF, HKK)
FLQ = (TPR, LGG)
FLV = (TLV, KDN)
FMJ = (KQM, DHQ)
FMS = (FQR, PXB)
FMX = (RFL, GSG)
FNK = (QFF, CKV)
FNM = (XRV, RKM)
FNX = (MJX, PFZ)
FPN = (TCK, GLD)
FPS = (MGM, KSX)
FPV = (GHN, BRB)
FQR = (QBF, CLH)
FQT = (QKT, BJB)
FRN = (BJH, JTF)
FRV = (SMH, BJP)
FSA = (RXT, BLP)
FSC = (BFG, NTH)
FSD = (XNH, MJF)
FSV = (MPS, NRB)
FTH = (QRK, FHX)
FTK = (LSH, DDG)
FTT = (GRG, PMJ)
FTV = (CMM, PBL)
FVL = (HMR, MTB)
FVP = (FJD, HTS)
FVX = (QKQ, MLL)
FXA = (LBJ, JGT)
FXF = (BXS, LMQ)
FXH = (GCH, KBD)
GBF = (HJG, FPV)
GBX = (DSM, DVS)
GCD = (BFG, NTH)
GCH = (QPT, FDV)
GCS = (RKJ, CSC)
GFM = (MRG, CDX)
GGB = (CFT, GSC)
GHJ = (MPS, NRB)
GHK = (JMM, VBN)
GHM = (QDQ, DPP)
GHN = (XBS, XBS)
GKH = (VQC, LNV)
GKK = (RMN, QDP)
GKS = (BXH, QCZ)
GLD = (VST, JPF)
GLN = (RMX, NGG)
GMD = (VFL, JLJ)
GML = (XFJ, GVL)
GMN = (HVC, VMC)
GMX = (FTT, KVX)
GNL = (TJJ, MKM)
